Sample,PRICE,DATE,NEIGHBORHOOD,N_CAH,N_CE,N_OC1,N_OC2,N_RSW,CLUSTER,WARD,OUTLIER 3s,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
0.8415981971,523,17/06/2008,OLD CITY II,0,0,0,1,0,7,6,,93,711,1,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.842415732,588,01/10/2009,CENTRAL,0,1,0,0,0,5,6,,79,595,18,1,1,0,1,1,1,0,4,449.21,54.98,16160,6.48,203276,3.6,24,20,6.7,75,5.7,12,27,3.2,2.6,13,39,7,0,18,6,0.7
0.8426278483,433,08/05/2008,OLD CITY II,0,0,0,1,0,7,6,,139,868,1,1,1,0,1,0,1,0,4,1411.07,437.72,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8436112982,518,02/07/2009,CAPITOL HILL,1,0,0,0,0,26,6,,224,657,118,1,1,0,1,0,1,1,4,3190.22,212.61,20909,7.29,169454,9.7,47,8,35,56,5.2,3.4,6.6,3.8,2.2,1.4,58,168,578000,18,8.7,5.8
0.8445455007,492,21/09/2009,OLD CITY II,0,0,0,1,0,7,6,,93,732,2,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8451331801,300,30/10/2009,OLD CITY I,0,0,1,0,0,25,6,,692,525,62,1,1,0,1,0,1,0,4,3791.04,1189.71,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8452913476,523,14/10/2008,OLD CITY II,0,0,0,1,0,7,6,,102,628,1,1,1,0,1,0,1,0,4,1427.39,459.90,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8459988847,470,03/07/2008,OLD CITY I,0,0,1,0,0,25,6,,27,632,1,1,1,0,1,1,1,0,4,3901.60,114.24,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8465172518,372,04/06/2008,OLD CITY I,0,0,1,0,0,25,6,,699,642,54,1,1,0,1,1,1,0,4,4115.30,352.94,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8471742558,475,06/05/2009,CENTRAL,0,1,0,0,0,5,6,,69,737,5,1,1,0,0,1,1,0,4,672.73,256.62,16160,6.48,203276,3.6,24,20,6.7,75,5.7,12,27,3.2,2.6,13,39,7,0,18,6,0.7
